customer_id,segment,rfm_score,transaction_count,recency_days,amount,recency_score,frequency_score,monetary_score
Jayden Hayes,Loyal,243,7,478,435,2,4,3
Jayme Welch,Do not Show Up at All,111,1,760,23,1,1,1
Jayvion Cummings,First Grade,555,9,53,1090,5,5,5
Jazlyn Casper PhD,Almost Out,133,5,512,403,1,3,3
Jazmin Harvey,Loyal,535,5,34,874,5,3,5
Jeanette Lind,First Grade,555,10,41,1062,5,5,5
Jeanie Berge,Almost Out,124,4,539,570,1,2,4
Jensen Cormier Jr.,Loyal,334,5,236,556,3,3,4
Jerald Gaylord,Likely to be Loyal,422,4,173,275,4,2,2
Jerald Hintz,Likely to be Loyal,412,3,179,286,4,1,2
Jeraldine Waelchi,Likely to be Loyal,412,3,146,359,4,1,2
Jeremie Wehner V,Loyal,553,8,50,488,5,5,3
Jerold Sporer,Loyal,443,6,135,506,4,4,3
Jerrell Wisozk I,First Grade,545,7,113,764,5,4,5
Jessica Connelly,Loyal,243,7,352,438,2,4,3
Jessica Koepp MD,Loyal,533,5,88,450,5,3,3
Jessy Emard,Loyal,344,7,281,653,3,4,4
Jevon Rutherford,Getting Less Frequent,212,2,391,268,2,1,2
Jimmie Herzog,Loyal,333,5,265,401,3,3,3
Joana Crist,Others,524,4,67,552,5,2,4
Joana Kemmer DDS,First Grade,455,8,153,806,4,5,5
Joann Yundt,Do not Show Up at All,111,2,604,223,1,1,1
Joe McDermott,Getting Less Frequent,212,3,390,317,2,1,2
Joelle Deckow,Loyal,533,5,101,479,5,3,3
Johnathon Schimmel,Require Assistance,223,4,455,436,2,2,3
Johney Mayer,Likely to be Loyal,311,3,272,101,3,1,1
Josef Lemke,Loyal,533,5,48,391,5,3,3
Josephus Bradtke DVM,Almost Out,224,4,374,520,2,2,4
Josette Bailey,Loyal,234,5,449,663,2,3,4
Juana Bogan,Almost Out,133,5,505,416,1,3,3
Judyth Lueilwitz,Almost Out,134,5,662,552,1,3,4
Jules Harber,Do not Show Up at All,111,2,673,77,1,1,1
Jules Jacobi,Loyal,255,9,453,935,2,5,5
Julia Koch,Likely to be Loyal,431,5,171,236,4,3,1
Juliana Sipes,Likely to be Loyal,322,4,190,314,3,2,2
Juliet Terry,Getting Less Frequent,211,2,410,218,2,1,1
Julisa Halvorson,First Grade,455,12,127,987,4,5,5
Kadence Morissette,First Grade,444,7,144,613,4,4,4
Kalvin Prosacco,First Grade,445,7,129,751,4,4,5
Kamren Moen,Getting Less Frequent,212,3,336,274,2,1,2
Kamron Halvorson,Loyal,255,8,403,829,2,5,5
Karan Weber DVM,Likely to be Loyal,522,4,67,276,5,2,2
Karen Harvey,Likely to be Loyal,321,4,249,229,3,2,1
Karlie Treutel,Likely to be Loyal,532,5,61,318,5,3,2
Karon Torphy,Loyal,234,5,398,554,2,3,4
Karren Funk,Getting Less Frequent,212,3,449,353,2,1,2
Karren Schuppe,Loyal,244,6,381,549,2,4,4
Katlyn Mann,Loyal,345,7,297,698,3,4,5
Katy King,Loyal,344,6,246,653,3,4,4
Kelsey Pollich,Likely to be Loyal,513,3,48,473,5,1,3
Kem Medhurst II,Likely to be Loyal,322,4,287,275,3,2,2
Kendal Wiegand,First Grade,445,6,137,712,4,4,5
Kendrick Boyle,Likely to be Loyal,522,4,8,347,5,2,2
Kenny Wisozk,Loyal,344,6,182,630,3,4,4
Kenton Dickens,Almost Out,155,8,575,872,1,5,5
Keri Schuppe MD,Loyal,334,5,206,528,3,3,4
Keri Williamson,First Grade,455,9,180,741,4,5,5
Kingston Hayes,Likely to be Loyal,312,3,190,347,3,1,2
Kingston Waelchi,Do not Show Up at All,112,3,533,292,1,1,2
Kittie Dare,Likely to be Loyal,323,4,233,441,3,2,3
Kizzy Doyle,First Grade,455,13,168,1488,4,5,5
Kole Crooks,Likely to be Loyal,532,5,92,332,5,3,2
Kordell Hartmann,Getting Less Frequent,212,2,478,260,2,1,2
Korey Cronin,Getting Less Frequent,211,2,479,82,2,1,1
Kraig Hayes DDS,First Grade,445,6,171,781,4,4,5
Krista Hartmann,Do not Show Up at All,121,4,695,155,1,2,1
Kristian Heaney,Others,113,3,681,479,1,1,3
Kristy Kunde MD,Getting Less Frequent,221,4,350,242,2,2,1
Kyla Orn,Likely to be Loyal,521,4,90,251,5,2,1
Kylie Kertzmann,Likely to be Loyal,411,2,117,209,4,1,1
Lacy Connelly MD,Getting Less Frequent,221,4,466,113,2,2,1
Laddie Donnelly Sr.,Getting Less Frequent,211,3,352,196,2,1,1
Laisha VonRueden,First Grade,555,9,27,1003,5,5,5
Lakeshia Harris,Almost Out,142,7,549,309,1,4,2
Lane Roberts,Loyal,234,5,372,585,2,3,4
Lani Dicki MD,Others,542,6,112,356,5,4,2
Lashawn Hoppe,Loyal,233,5,469,437,2,3,3
Lassie Lindgren,First Grade,555,8,63,775,5,5,5
Latesha Bernhard,Loyal,355,8,195,724,3,5,5
Latifah Carter,Others,424,4,146,601,4,2,4
Latoya Stanton,First Grade,555,10,21,814,5,5,5
Latrice Stokes,Others,324,4,181,574,3,2,4
Laurel Morar,Likely to be Loyal,431,5,172,230,4,3,1
Laurene Considine,Loyal,255,9,311,1008,2,5,5
Lavern Pfeffer DDS,Almost Out,224,4,426,632,2,2,4
Leala Schuppe MD,Loyal,344,6,193,512,3,4,4
Lennon Hilll,Loyal,244,6,431,621,2,4,4
Leone Fritsch,Require Assistance,222,4,359,375,2,2,2
Leonel Rippin,Loyal,234,5,307,515,2,3,4
Lesa Hane,Likely to be Loyal,511,3,77,157,5,1,1
Lesta Carter,Loyal,255,9,427,773,2,5,5
Lesta Davis,Likely to be Loyal,311,3,239,152,3,1,1
Letitia Stokes,First Grade,454,8,175,536,4,5,4
Lexi Altenwerth,Almost Out,224,4,399,655,2,2,4
Leyla Dietrich,Loyal,433,5,118,485,4,3,3
Lidie Gislason,Likely to be Loyal,512,3,94,285,5,1,2
Lilah Blanda PhD,Others,342,6,202,358,3,4,2
Lillianna Larkin,First Grade,455,9,148,1011,4,5,5
Lim Langworth,Loyal,533,5,106,424,5,3,3
Lindy Pagac,Require Assistance,222,4,446,306,2,2,2
Link Carroll MD,Almost Out,144,7,494,648,1,4,4
Link Orn,Do not Show Up at All,111,1,955,61,1,1,1
Lionel Marquardt,Do not Show Up at All,111,1,976,133,1,1,1
Lisandro Kassulke,Loyal,235,5,312,730,2,3,5
Lisandro Swift,Loyal,543,6,97,479,5,4,3
Lisha Hayes,Likely to be Loyal,522,4,105,340,5,2,2
Lissa White,Loyal,243,6,417,492,2,4,3
Livia Pfeffer,Getting Less Frequent,211,2,436,139,2,1,1
Lockie Fahey,Do not Show Up at All,112,3,509,284,1,1,2
Lollie Conroy,Do not Show Up at All,111,2,578,94,1,1,1
Lollie Heaney,Do not Show Up at All,111,1,568,28,1,1,1
Londyn Reinger,First Grade,555,9,45,782,5,5,5
Lorean Stokes DVM,First Grade,555,9,82,708,5,5,5
Lorelai Parisian,Loyal,355,9,186,788,3,5,5
Loretta Lueilwitz,Do not Show Up at All,111,1,651,79,1,1,1
Loretto Romaguera,Likely to be Loyal,511,2,84,237,5,1,1
Lott Larkin,Loyal,243,6,472,437,2,4,3
Louis Toy I,First Grade,545,6,48,711,5,4,5
Lovisa Wilkinson,Getting Less Frequent,212,3,471,311,2,1,2
Loy Olson Sr.,First Grade,444,6,151,560,4,4,4
Lucia Flatley,Require Assistance,222,4,309,289,2,2,2
Luciano Kling,First Grade,544,6,101,587,5,4,4
Luda Kihn,Require Assistance,222,4,304,371,2,2,2
Luka Langosh,Require Assistance,223,4,412,482,2,2,3
Lute Batz DVM,Require Assistance,223,4,333,505,2,2,3
Luverne Rodriguez DDS,Loyal,344,6,279,582,3,4,4
Lydia Willms,First Grade,455,11,116,713,4,5,5
Lyn Parker,Loyal,534,5,68,639,5,3,4
Lyndon McClure,Loyal,334,5,270,575,3,3,4
Lyndsey Heidenreich,Loyal,255,9,384,1050,2,5,5
Mabell Lemke,First Grade,444,7,164,583,4,4,4
Mac Kertzmann,Likely to be Loyal,513,3,43,438,5,1,3
Madison Koelpin,Likely to be Loyal,313,3,231,388,3,1,3
Madyson Bergnaum PhD,First Grade,555,8,85,965,5,5,5
Mae O'Kon,Likely to be Loyal,411,3,168,249,4,1,1
Maebell Terry,Likely to be Loyal,522,4,107,258,5,2,2
Magdalen Ward,Do not Show Up at All,111,2,533,184,1,1,1
Mahlon Pfeffer,Do not Show Up at All,111,3,507,166,1,1,1
Makenzie Hintz,Do not Show Up at All,111,2,497,252,1,1,1
Malaya White,First Grade,544,6,86,546,5,4,4
Malcolm Bogan,Loyal,434,5,140,565,4,3,4
Malcolm Heathcote,Likely to be Loyal,523,4,9,431,5,2,3
Malcolm Medhurst,Likely to be Loyal,322,4,275,350,3,2,2
Manilla Braun,Others,214,3,372,513,2,1,4
Mansfield Boyle,Loyal,244,6,465,640,2,4,4
Maralyn Greenfelder,Likely to be Loyal,423,4,162,401,4,2,3
Marcello Torphy Jr.,Loyal,543,6,4,464,5,4,3
Marci Nader,Loyal,543,6,48,494,5,4,3
Margarette Eichmann DVM,Likely to be Loyal,312,3,220,345,3,1,2
Margarita O'Reilly,Others,424,4,127,649,4,2,4
Marguerite Heaney,Likely to be Loyal,522,4,114,265,5,2,2
Mariano Lueilwitz,Loyal,244,6,400,540,2,4,4
Marissa Goyette,First Grade,445,7,120,693,4,4,5
Marla Sanford,First Grade,554,9,93,637,5,5,4
Marlene Runolfsson,Loyal,334,5,230,554,3,3,4
Marrion Emmerich IV,Loyal,443,7,149,490,4,4,3
Marty Wisozk,Require Assistance,232,5,354,347,2,3,2
Marvin Wisozk,Do not Show Up at All,112,3,553,356,1,1,2
Masao Deckow,Likely to be Loyal,511,3,6,239,5,1,1
Mason Rodriguez,Getting Less Frequent,212,3,469,270,2,1,2
Mathilda Farrell,Loyal,345,7,242,736,3,4,5
Matthew Schmeler,Likely to be Loyal,523,4,110,422,5,2,3
Maudie Waelchi,Do not Show Up at All,112,2,720,277,1,1,2
Mauricio VonRueden,Almost Out,132,5,509,371,1,3,2
Maxie Steuber,Likely to be Loyal,511,2,113,181,5,1,1
Melbourne Johns,Likely to be Loyal,412,3,173,260,4,1,2
Melvin Schmidt,First Grade,545,6,73,673,5,4,5
Mendy Ledner,Others,424,4,142,523,4,2,4
Mervin Pfeffer V,Loyal,333,5,222,463,3,3,3
Mervyn Vandervort,Do not Show Up at All,112,3,723,294,1,1,2
Michell Gerlach,Loyal,344,7,279,654,3,4,4
Miguelangel Dach,Likely to be Loyal,522,4,16,316,5,2,2
Mila Gibson,Almost Out,124,4,486,620,1,2,4
Milissa Batz MD,Others,524,4,75,643,5,2,4
Mimi Goldner,Require Assistance,223,4,468,404,2,2,3
Miss Akeelah Walsh PhD,First Grade,445,7,160,779,4,4,5
Miss Aleen Kunze,Getting Less Frequent,212,2,396,320,2,1,2
Miss Anaya Kerluke,Do not Show Up at All,111,1,687,104,1,1,1
Miss Chante Stoltenberg PhD,Loyal,245,6,316,805,2,4,5
Miss Cristi Quitzon PhD,Loyal,433,5,152,425,4,3,3
Miss Dorotha Kuvalis PhD,First Grade,545,7,55,958,5,4,5
Miss Ela Treutel,Getting Less Frequent,212,3,397,336,2,1,2
Miss Eugenia Barton,Loyal,355,9,218,753,3,5,5
Miss Evita Howe MD,Almost Out,144,6,632,579,1,4,4
Miss Fronnie Schaefer DDS,First Grade,544,6,51,573,5,4,4
Miss Goldie Smitham,Almost Out,134,5,498,631,1,3,4
Miss Haleigh Wilkinson,Loyal,355,10,198,900,3,5,5
Miss Halle Davis DDS,First Grade,454,8,132,665,4,5,4
Miss Jonnie Veum,First Grade,455,8,148,770,4,5,5
Miss Jovita Reinger,Likely to be Loyal,311,3,200,243,3,1,1
Miss Kacie Miller DVM,First Grade,455,10,169,1027,4,5,5
Miss Katelynn Lebsack DVM,Loyal,543,7,99,382,5,4,3
Miss Katherine Balistreri DDS,Likely to be Loyal,322,4,288,357,3,2,2
Miss Kesha Daniel,Loyal,543,6,79,447,5,4,3
Miss Lacey Sanford PhD,Loyal,334,5,284,652,3,3,4
Miss Latosha O'Keefe,Loyal,345,6,197,854,3,4,5
Miss Lovie Keeling DVM,Likely to be Loyal,532,5,103,348,5,3,2
Miss Madison Lehner DVM,Almost Out,143,6,583,475,1,4,3
Miss Mistie Torp MD,Others,542,6,103,303,5,4,2
Miss Nealy Stanton,Getting Less Frequent,211,3,441,248,2,1,1
Miss Tillie Crooks DVM,First Grade,445,7,164,709,4,4,5
Miss Velma Schulist,Getting Less Frequent,211,3,464,224,2,1,1
Mittie Jacobs PhD,Likely to be Loyal,422,4,119,292,4,2,2
Mitzi Bergstrom,Getting Less Frequent,211,3,375,188,2,1,1
Moe Sawayn,Do not Show Up at All,111,2,522,176,1,1,1
Mohammad Smith,Loyal,344,6,201,600,3,4,4
Monique Reichel,Almost Out,122,4,532,360,1,2,2
Mont Mertz,Likely to be Loyal,412,3,125,261,4,1,2
Morton O'Connell,Getting Less Frequent,212,3,409,258,2,1,2
Mozell Greenfelder DDS,Loyal,533,5,37,417,5,3,3
Mr. Alessandro Weissnat DDS,First Grade,444,7,174,591,4,4,4
Mr. Almer Osinski,First Grade,455,10,123,862,4,5,5
Mr. Armin Klocko IV,Almost Out,143,6,482,492,1,4,3
Mr. Brion Stark Sr.,Loyal,355,8,229,852,3,5,5
Mr. Cayden Waters,Likely to be Loyal,421,4,120,232,4,2,1
Mr. Celestino Bosco,First Grade,445,7,133,716,4,4,5
Mr. Christ Zieme MD,First Grade,544,7,111,510,5,4,4
Mr. Cletus Corwin,Do not Show Up at All,111,2,558,81,1,1,1
Mr. Colin Prohaska,Loyal,245,7,479,700,2,4,5
Mr. Dandre Nolan I,Do not Show Up at All,111,1,951,30,1,1,1
Mr. Demetric Franecki,Likely to be Loyal,423,4,149,387,4,2,3
Mr. Edw Frami,First Grade,555,10,44,868,5,5,5
Mr. Elian Vandervort Jr.,Likely to be Loyal,332,5,195,332,3,3,2
Mr. Erin Zboncak IV,First Grade,545,6,26,895,5,4,5
Mr. Fletcher Hudson,Do not Show Up at All,111,2,600,165,1,1,1
Mr. Fount Towne I,First Grade,544,6,8,540,5,4,4
Mr. Francisco Kiehn,Do not Show Up at All,111,2,620,133,1,1,1
Mr. Fredric Funk III,Getting Less Frequent,211,3,439,228,2,1,1
Mr. Harris Pollich,Loyal,535,5,21,734,5,3,5
Mr. Hosea Schiller,Loyal,255,9,410,840,2,5,5
Mr. Hosie Howell PhD,Loyal,233,5,421,496,2,3,3
Mr. Hunter Botsford Jr.,Do not Show Up at All,112,2,613,267,1,1,2
Mr. Hurley Brekke,Getting Less Frequent,211,2,444,175,2,1,1
Mr. Jeff Denesik,Likely to be Loyal,322,4,235,326,3,2,2
Mr. Jeramiah Cronin,First Grade,544,6,6,547,5,4,4
Mr. Jimmy Mayert PhD,Almost Out,123,4,512,382,1,2,3
Mr. Junior Wintheiser II,Others,214,3,429,529,2,1,4
Mr. Kenji Cormier,Likely to be Loyal,412,3,177,359,4,1,2
Mr. Kolten Wyman Jr.,Almost Out,135,5,495,668,1,3,5
Mr. Lary Champlin,First Grade,455,14,124,1074,4,5,5
Mr. Lillard McGlynn V,Do not Show Up at All,111,2,588,96,1,1,1
Mr. Lon Witting Jr.,Likely to be Loyal,313,3,295,413,3,1,3
Mr. Lupe Kohler,Loyal,245,7,299,716,2,4,5
Mr. Manuel DuBuque,First Grade,455,9,126,927,4,5,5
Mr. Marcelo Wunsch MD,Getting Less Frequent,211,1,446,52,2,1,1
Mr. Marcus Langosh,Likely to be Loyal,512,3,98,363,5,1,2
Mr. Marquise Swaniawski MD,Almost Out,155,8,569,799,1,5,5
Mr. Mekhi Goyette,Require Assistance,222,4,416,350,2,2,2
Mr. Michal Murphy,Loyal,434,5,136,548,4,3,4
Mr. Michale Howe DVM,Loyal,255,8,430,740,2,5,5
Mr. Mikeal Block,Almost Out,132,5,526,323,1,3,2
Mr. Owens Gaylord,Likely to be Loyal,411,3,123,172,4,1,1
Mr. Paulo Stoltenberg,Do not Show Up at All,112,3,487,308,1,1,2
Mr. Ray Stanton III,First Grade,455,11,144,816,4,5,5
Mr. Rohan Wolf,Almost Out,145,6,502,820,1,4,5
Mr. Saverio Weimann II,Loyal,334,5,263,534,3,3,4
Mr. Semaj Sauer,First Grade,555,8,31,806,5,5,5
Mr. Tad Johnson,Loyal,355,10,206,1184,3,5,5
Mr. Tegan Farrell MD,Likely to be Loyal,332,5,295,378,3,3,2
Mr. Thad Nader Sr.,Loyal,333,5,282,480,3,3,3
Mr. Torry Bogan I,Likely to be Loyal,511,2,107,195,5,1,1
Mr. Tripp Batz PhD,Loyal,333,5,291,446,3,3,3
Mr. Vito Ernser II,Loyal,533,5,13,461,5,3,3
Mr. Wendel Hintz,First Grade,545,6,87,798,5,4,5
Mr. Wilkie Moore MD,Do not Show Up at All,111,2,836,244,1,1,1
Mr. Zackery Armstrong,Require Assistance,223,4,341,490,2,2,3
Mr. Zakary Gleichner II,First Grade,544,7,43,615,5,4,4
Mrs. Alysa Cummings,First Grade,555,9,1,876,5,5,5
Mrs. Anice O'Hara DDS,Loyal,243,7,360,469,2,4,3
Mrs. Astrid Bayer PhD,First Grade,455,8,141,687,4,5,5
Mrs. Breann Harris,Loyal,234,5,310,599,2,3,4
Mrs. Cali Considine,Loyal,233,5,349,416,2,3,3
Mrs. Carolann Anderson PhD,Do not Show Up at All,111,3,590,217,1,1,1
Mrs. Charolette McDermott MD,Likely to be Loyal,411,1,139,82,4,1,1
Mrs. Chiquita Jacobs,Likely to be Loyal,421,4,158,144,4,2,1
Mrs. Cleone Hagenes DDS,Do not Show Up at All,112,3,537,331,1,1,2
Mrs. Danika Schulist,Loyal,233,5,443,495,2,3,3
Mrs. Delisa Kilback,Loyal,333,5,263,476,3,3,3
Mrs. Hildur Mante,Others,213,3,431,386,2,1,3
Mrs. Ila Leuschke DVM,Loyal,243,6,392,396,2,4,3
Mrs. Janel Koepp DVM,Likely to be Loyal,321,4,285,253,3,2,1
Mrs. Jaquelin Weber DVM,Likely to be Loyal,422,4,147,332,4,2,2
Mrs. Jerilynn Schulist,First Grade,445,7,116,888,4,4,5
Mrs. Kelcie Schimmel,First Grade,444,7,142,536,4,4,4
Mrs. Kyrie Funk,Almost Out,134,5,502,520,1,3,4
Mrs. Laila Bayer,Others,524,4,72,516,5,2,4
Mrs. Lois Russel,Do not Show Up at All,111,2,632,166,1,1,1
Mrs. Lucetta Auer,Likely to be Loyal,311,3,229,128,3,1,1
Mrs. Madelyn Hermiston,Likely to be Loyal,423,4,122,446,4,2,3
Mrs. Makenna Bernier PhD,Require Assistance,223,4,410,386,2,2,3
Mrs. Malaya Russel,Likely to be Loyal,511,3,93,209,5,1,1
Mrs. Marti Johnston,Loyal,233,5,377,409,2,3,3
Mrs. Maura Schamberger,Loyal,333,5,266,434,3,3,3
Mrs. Melany Mitchell DDS,Do not Show Up at All,111,1,681,12,1,1,1
Mrs. Michal Feil DVM,Loyal,233,5,463,390,2,3,3
Mrs. Noma Hessel PhD,Loyal,245,7,298,815,2,4,5
Mrs. Oneta Lebsack,Loyal,345,7,258,777,3,4,5
Mrs. Trudy Rath,Loyal,244,6,387,547,2,4,4
Mrs. Vernie Ryan MD,Loyal,443,6,159,422,4,4,3
Mrs. Vivien Bauch,First Grade,545,7,109,676,5,4,5
Ms. Amaris Williamson MD,Likely to be Loyal,332,5,241,289,3,3,2
Ms. Amira Gutkowski DDS,Do not Show Up at All,111,2,576,191,1,1,1
Ms. Arletta Jast PhD,First Grade,445,7,130,720,4,4,5
Ms. Brea Nienow DDS,First Grade,544,6,90,580,5,4,4
Ms. Delpha King,First Grade,555,12,43,1233,5,5,5
Ms. Elda Schmeler,First Grade,455,8,129,744,4,5,5
Ms. Erica Gottlieb,Loyal,255,8,340,829,2,5,5
Ms. Ermine Krajcik,Do not Show Up at All,111,1,595,106,1,1,1
Ms. Forest Hartmann DVM,Do not Show Up at All,112,3,538,311,1,1,2
Ms. Giada Weissnat,Others,542,6,102,346,5,4,2
Ms. Gracelyn Dare,First Grade,544,6,112,548,5,4,4
Ms. Gracie Willms,Almost Out,124,4,504,556,1,2,4
Ms. Grecia Schultz,Others,442,6,164,357,4,4,2
Ms. Gussie Bartoletti,First Grade,455,8,172,885,4,5,5
Ms. Hayleigh Swaniawski DDS,Likely to be Loyal,323,4,289,489,3,2,3
Ms. Hessie Gleichner,Almost Out,242,6,414,368,2,4,2
Ms. Hollie Crooks,Almost Out,133,5,493,400,1,3,3
Ms. Iliana O'Conner,Loyal,344,6,194,613,3,4,4
Ms. Jacklyn Casper,Loyal,533,5,105,415,5,3,3
Ms. Katherine Schroeder,Loyal,244,6,407,566,2,4,4
Ms. Katrina Barton PhD,First Grade,445,7,136,774,4,4,5
Ms. Kelis Rau MD,Loyal,534,5,86,537,5,3,4
Ms. Leaner Jacobs PhD,Almost Out,123,4,647,458,1,2,3
Ms. Liliana Haley,Loyal,244,7,473,589,2,4,4
Ms. Maebell Reinger DVM,Loyal,245,6,443,673,2,4,5
Ms. Marolyn Walsh,Likely to be Loyal,511,3,90,180,5,1,1
Ms. Merrilee Lueilwitz,Do not Show Up at All,111,1,699,185,1,1,1
Ms. Nada Barton PhD,First Grade,544,7,114,576,5,4,4
Ms. Oralia Kilback,Loyal,343,6,182,480,3,4,3
Ms. Penni Corkery,First Grade,544,6,98,620,5,4,4
Ms. Peyton Larson DVM,Loyal,244,6,433,664,2,4,4
Ms. Sarita Heidenreich DVM,Require Assistance,223,4,305,462,2,2,3
Ms. Starr Corwin DDS,Likely to be Loyal,421,4,171,228,4,2,1
Ms. Val McKenzie PhD,Likely to be Loyal,422,4,122,380,4,2,2
Ms. Valorie Kling,Loyal,433,5,155,421,4,3,3
Ms. Zola Nolan,Likely to be Loyal,322,4,224,375,3,2,2
Murl Dicki,Likely to be Loyal,411,2,178,233,4,1,1
Murl Wilkinson II,First Grade,445,7,135,936,4,4,5
Murray Harvey,Loyal,434,5,145,646,4,3,4
Myer Stokes,Almost Out,145,7,491,826,1,4,5
Mykel Johnson,Loyal,353,8,276,453,3,5,3
Myrle Krajcik,Loyal,245,6,335,937,2,4,5
Myrtis Larkin DDS,Likely to be Loyal,423,4,132,423,4,2,3
Naima Treutel,Loyal,434,5,150,613,4,3,4
Nan O'Connell,Likely to be Loyal,411,2,143,79,4,1,1
Nathaly Streich,Almost Out,145,6,525,681,1,4,5
Nathanael Wisozk,Do not Show Up at All,112,3,636,343,1,1,2
Neppie Armstrong,Do not Show Up at All,111,1,607,219,1,1,1
Nery Ankunding PhD,Almost Out,123,4,574,425,1,2,3
Nevin Boehm,First Grade,545,6,86,694,5,4,5
Nico Dickinson,Almost Out,154,8,616,569,1,5,4
Nigel Leannon II,Loyal,534,5,63,579,5,3,4
Nikita Becker,Likely to be Loyal,423,4,140,462,4,2,3
Nikolai Welch MD,Likely to be Loyal,321,4,192,212,3,2,1
Nikolas Shanahan,Likely to be Loyal,332,5,264,268,3,3,2
Nobie Hermann,Almost Out,122,4,597,353,1,2,2
Noma Dare MD,Almost Out,224,4,475,597,2,2,4
Nyree Walker,Do not Show Up at All,111,3,550,211,1,1,1
Odelia Rippin,Almost Out,144,6,488,585,1,4,4
Odessa Haag,Almost Out,134,5,586,641,1,3,4
Odie Jacobs,Do not Show Up at All,112,3,484,353,1,1,2
Odie Lakin,Getting Less Frequent,211,2,442,132,2,1,1
Odis Schoen,Loyal,434,5,150,512,4,3,4
Olaf Witting,Likely to be Loyal,311,2,191,143,3,1,1
Olen Steuber DVM,Do not Show Up at All,111,1,520,39,1,1,1
Olena Kessler,Likely to be Loyal,311,2,214,163,3,1,1
Oley Schroeder I,Loyal,244,6,402,632,2,4,4
Olof Swift,Loyal,533,5,88,453,5,3,3
Omie Cummerata,Do not Show Up at All,121,4,519,220,1,2,1
Ophelia Ernser,Loyal,344,6,281,622,3,4,4
Orpha Bernhard,First Grade,455,9,153,955,4,5,5
Orville Lemke III,Likely to be Loyal,311,3,215,147,3,1,1
Ossie Schaden PhD,First Grade,544,7,44,600,5,4,4
Ottis Wiza,Likely to be Loyal,321,4,244,242,3,2,1
Pansy Bergstrom,Loyal,533,5,88,394,5,3,3
Parker Bailey DVM,Almost Out,143,7,852,476,1,4,3
Pat Nitzsche PhD,Likely to be Loyal,422,4,162,306,4,2,2
Patience Ferry,Loyal,344,6,249,644,3,4,4
Paulo Torphy,Do not Show Up at All,111,2,892,219,1,1,1
Payten Morissette,Likely to be Loyal,313,3,296,466,3,1,3
Pearl Schmidt,Loyal,234,5,446,536,2,3,4
Perley Renner,Loyal,243,6,427,406,2,4,3
Pershing Johnston MD,Likely to be Loyal,311,2,296,108,3,1,1
Pershing Torp II,Do not Show Up at All,111,2,490,241,1,1,1
Peyton Koelpin,Do not Show Up at All,111,1,604,89,1,1,1
Peyton Runolfsson,Likely to be Loyal,422,4,174,335,4,2,2
Phylis Gaylord,Likely to be Loyal,331,5,210,185,3,3,1
Pierre Stoltenberg,Do not Show Up at All,111,2,618,82,1,1,1
Pink Murazik,Getting Less Frequent,211,2,449,225,2,1,1
Piper Buckridge,Do not Show Up at All,112,3,601,265,1,1,2
Pleasant Ullrich,Loyal,245,7,319,1089,2,4,5
Porsche Mayert DDS,Almost Out,144,6,496,515,1,4,4
Portia Schamberger,First Grade,545,7,49,762,5,4,5
Posey Metz,Loyal,355,10,183,1060,3,5,5
Pratt Crooks,Likely to be Loyal,332,5,182,300,3,3,2
Price Harvey,Getting Less Frequent,211,3,411,137,2,1,1
Princess Hermann PhD,Do not Show Up at All,111,1,597,55,1,1,1
Prudie Kertzmann,First Grade,554,8,88,580,5,5,4
Quintin Tillman,First Grade,555,9,64,960,5,5,5
Rafael Mitchell,Others,113,3,550,421,1,1,3
Raheem Bosco,Likely to be Loyal,421,4,124,182,4,2,1
Rakeem Harvey,Loyal,255,10,454,809,2,5,5
Rayna Hagenes PhD,Almost Out,124,4,538,587,1,2,4
Reanna O'Keefe,First Grade,555,8,35,960,5,5,5
Rebeca Kling,First Grade,455,8,129,956,4,5,5
Reggie Leffler,Loyal,233,5,455,413,2,3,3
Regina Collins,Likely to be Loyal,332,5,234,360,3,3,2
Rexford Greenholt,Loyal,334,5,196,570,3,3,4
Reynaldo Davis,Do not Show Up at All,112,3,681,358,1,1,2
Ricci Bins,Do not Show Up at All,121,4,535,210,1,2,1
Rice Prohaska,Others,542,6,71,319,5,4,2
Rikki Watsica DVM,First Grade,544,7,43,581,5,4,4
Riley Heller,Likely to be Loyal,423,4,171,446,4,2,3
Rob Wilderman Sr.,Do not Show Up at All,111,1,624,34,1,1,1
Robbin Herzog,Require Assistance,222,4,366,381,2,2,2
Robert Satterfield,Likely to be Loyal,422,4,135,317,4,2,2
Robert Schmeler,Likely to be Loyal,311,3,243,254,3,1,1
Rochelle Johnson,Loyal,344,7,204,652,3,4,4
Roger Green,Almost Out,123,4,663,468,1,2,3
Rolla Hodkiewicz,Almost Out,123,4,564,409,1,2,3
Rollie Yundt DVM,Others,113,3,600,467,1,1,3
Roma Daniel,Likely to be Loyal,321,4,229,197,3,2,1
Roma Rath,Almost Out,143,6,490,420,1,4,3
Romaine McCullough,Loyal,333,5,232,405,3,3,3
Romie Upton,First Grade,454,8,145,622,4,5,4
Ronan McLaughlin,Likely to be Loyal,323,4,289,496,3,2,3
Roni Carter,Likely to be Loyal,422,4,128,365,4,2,2
Ronin Beatty Jr.,Likely to be Loyal,423,4,146,434,4,2,3
Rosanne Maggio,First Grade,544,7,67,597,5,4,4
Rosario Boyle,Loyal,234,5,417,512,2,3,4
Rose Kuphal,Likely to be Loyal,523,4,69,400,5,2,3
Rosevelt Murazik DDS,Loyal,433,5,139,447,4,3,3
